domain,date,day_of_year,relative_position,n_observations
DK1,2017-01-13,13,12,1
DK1,2017-02-22,53,52,1
DK1,2017-03-01,60,59,1
DK1,2017-03-11,70,69,1
DK1,2017-03-21,80,79,1
DK1,2017-03-24,83,82,1
DK1,2017-04-03,93,92,1
DK1,2017-04-23,113,112,1
DK1,2017-04-30,120,119,1
DK1,2017-05-03,123,122,1
DK1,2017-05-13,133,132,1
DK1,2017-05-23,143,142,1
DK1,2017-06-02,153,152,1
DK1,2017-06-19,170,169,1
DK1,2017-06-22,173,172,1
DK1,2017-07-02,183,182,1
DK1,2017-07-04,185,184,1
DK1,2017-07-09,190,189,1
DK1,2017-07-12,193,192,1
DK1,2017-07-17,198,197,1
DK1,2017-07-19,200,199,1
DK1,2017-08-06,218,217,1
DK1,2017-08-08,220,219,1
DK1,2017-08-13,225,224,1
DK1,2017-08-16,228,227,1
DK1,2017-08-18,230,229,1
DK1,2017-08-21,233,232,1
DK1,2017-08-23,235,234,1
DK1,2017-08-26,238,237,1
DK1,2017-09-10,253,252,1
DK1,2017-09-12,255,254,1
DK1,2017-09-17,260,259,1
DK1,2017-09-20,263,262,1
DK1,2017-09-25,268,267,1
DK1,2017-09-27,270,269,1
DK1,2017-10-02,275,274,1
DK1,2017-10-12,285,284,1
DK1,2017-10-22,295,294,1
DK1,2017-10-25,298,297,1
DK1,2017-10-27,300,299,1
DK1,2017-10-30,303,302,1
DK1,2017-11-06,310,309,1
DK1,2017-11-14,318,317,1
DK1,2017-11-19,323,322,1
DK1,2017-11-21,325,324,1
DK1,2017-11-26,330,329,1
DK1,2017-11-29,333,332,1
DK1,2017-12-01,335,334,1
DK1,2017-12-09,343,342,1
DK1,2017-12-16,350,349,1
DK1,2017-12-19,353,352,1
DK1,2017-12-29,363,362,1
FR2,2017-01-19,19,18,1
FR2,2017-01-29,29,28,1
FR2,2017-02-08,39,38,1
FR2,2017-02-18,49,48,1
FR2,2017-02-28,59,58,1
FR2,2017-03-10,69,68,1
FR2,2017-03-13,72,71,1
FR2,2017-03-30,89,88,1
FR2,2017-04-02,92,91,1
FR2,2017-04-09,99,98,1
FR2,2017-04-12,102,101,1
FR2,2017-04-19,109,108,1
FR2,2017-04-22,112,111,1
FR2,2017-04-29,119,118,1
FR2,2017-05-02,122,121,1
FR2,2017-05-09,129,128,1
FR2,2017-05-19,139,138,1
FR2,2017-05-22,142,141,1
FR2,2017-06-01,152,151,1
FR2,2017-06-08,159,158,1
FR2,2017-06-11,162,161,1
FR2,2017-06-18,169,168,1
FR2,2017-06-21,172,171,1
FR2,2017-06-28,179,178,1
FR2,2017-07-03,184,183,1
FR2,2017-07-06,187,186,1
FR2,2017-07-11,192,191,1
FR2,2017-07-13,194,193,1
FR2,2017-07-16,197,196,1
FR2,2017-07-18,199,198,1
FR2,2017-08-02,214,213,1
FR2,2017-08-05,217,216,1
FR2,2017-08-07,219,218,1
FR2,2017-08-20,232,231,1
FR2,2017-08-22,234,233,1
FR2,2017-08-25,237,236,1
FR2,2017-08-27,239,238,1
FR2,2017-09-01,244,243,1
FR2,2017-09-09,252,251,1
FR2,2017-09-11,254,253,1
FR2,2017-09-16,259,258,1
FR2,2017-09-19,262,261,1
FR2,2017-10-06,279,278,1
FR2,2017-10-11,284,283,1
FR2,2017-10-14,287,286,1
FR2,2017-10-16,289,288,1
FR2,2017-10-19,292,291,1
FR2,2017-10-21,294,293,1
FR2,2017-10-26,299,298,1
FR2,2017-10-31,304,303,1
FR2,2017-11-05,309,308,1
FR2,2017-11-08,312,311,1
FR2,2017-11-13,317,316,1
FR2,2017-11-15,319,318,1
FR2,2017-11-23,327,326,1
FR2,2017-11-25,329,328,1
FR2,2017-11-28,332,331,1
FR2,2017-12-08,342,341,1
FR2,2017-12-15,349,348,1
FR2,2017-12-18,352,351,1
FR2,2017-12-20,354,353,1
FR2,2017-12-28,362,361,1
FR1,2017-01-26,26,25,1
FR1,2017-02-15,46,45,1
FR1,2017-02-25,56,55,1
FR1,2017-03-17,76,75,1
FR1,2017-03-27,86,85,1
FR1,2017-04-06,96,95,1
FR1,2017-05-06,126,125,1
FR1,2017-05-16,136,135,1
FR1,2017-05-26,146,145,1
FR1,2017-06-05,156,155,1
FR1,2017-06-15,166,165,1
FR1,2017-06-25,176,175,1
FR1,2017-07-05,186,185,1
FR1,2017-07-15,196,195,1
FR1,2017-08-04,216,215,1
FR1,2017-08-14,226,225,1
FR1,2017-08-19,231,230,1
FR1,2017-08-24,236,235,1
FR1,2017-08-29,241,240,1
FR1,2017-09-08,251,250,1
FR1,2017-09-13,256,255,1
FR1,2017-09-23,266,265,1
FR1,2017-09-28,271,270,1
FR1,2017-10-03,276,275,1
FR1,2017-10-08,281,280,1
FR1,2017-10-13,286,285,1
FR1,2017-10-18,291,290,1
FR1,2017-10-23,296,295,1
FR1,2017-10-28,301,300,1
FR1,2017-11-07,311,310,1
FR1,2017-11-12,316,315,1
FR1,2017-11-17,321,320,1
FR1,2017-11-22,326,325,1
FR1,2017-11-27,331,330,1
FR1,2017-12-02,336,335,1
FR1,2017-12-07,341,340,1
FR1,2017-12-12,346,345,1
FR1,2017-12-17,351,350,1
FR1,2017-12-27,361,360,1
AT1,2017-01-01,1,0,1
AT1,2017-01-11,11,10,1
AT1,2017-02-03,34,33,1
AT1,2017-02-10,41,40,1
AT1,2017-02-13,44,43,1
AT1,2017-02-23,54,53,1
AT1,2017-03-02,61,60,1
AT1,2017-03-25,84,83,1
AT1,2017-04-01,91,90,1
AT1,2017-04-14,104,103,1
AT1,2017-04-21,111,110,1
AT1,2017-04-24,114,113,1
AT1,2017-05-01,121,120,1
AT1,2017-05-11,131,130,1
AT1,2017-05-14,134,133,1
AT1,2017-05-31,151,150,1
AT1,2017-06-03,154,153,1
AT1,2017-06-10,161,160,1
AT1,2017-06-13,164,163,1
AT1,2017-06-20,171,170,1
AT1,2017-06-30,181,180,1
AT1,2017-07-03,184,183,1
AT1,2017-07-05,186,185,1
AT1,2017-07-08,189,188,1
AT1,2017-07-10,191,190,1
AT1,2017-07-13,194,193,1
AT1,2017-07-18,199,198,1
AT1,2017-07-20,201,200,1
AT1,2017-07-28,209,208,1
AT1,2017-07-30,211,210,1
AT1,2017-08-02,214,213,1
AT1,2017-08-04,216,215,1
AT1,2017-08-07,219,218,1
AT1,2017-08-09,221,220,1
AT1,2017-08-17,229,228,1
AT1,2017-08-22,234,233,1
AT1,2017-08-24,236,235,1
AT1,2017-08-27,239,238,1
AT1,2017-08-29,241,240,1
AT1,2017-09-06,249,248,1
AT1,2017-09-08,251,250,1
AT1,2017-09-18,261,260,1
AT1,2017-09-23,266,265,1
AT1,2017-09-26,269,268,1
AT1,2017-09-28,271,270,1
AT1,2017-10-06,279,278,1
AT1,2017-10-11,284,283,1
AT1,2017-10-16,289,288,1
AT1,2017-10-26,299,298,1
AT1,2017-10-31,304,303,1
AT1,2017-11-02,306,305,1
AT1,2017-11-05,309,308,1
AT1,2017-11-12,316,315,1
AT1,2017-11-15,319,318,1
AT1,2017-12-02,336,335,1
AT1,2017-12-07,341,340,1
AT1,2017-12-10,344,343,1
AT1,2017-12-25,359,358,1
