run_name,source,target,seed,epoch,total,cls,qdom,qcls,div,sda,rho,grl,lr,val_loss,val_accuracy,val_macro_f1
AT1_to_DK1_seed1,AT1,DK1,1,1,6.2871,0.5356,4.4595,5.2165,-4.9612,1.0365,0.997,1.0,0.001,0.3718,0.89,0.4529
AT1_to_DK1_seed1,AT1,DK1,1,2,1.4801,0.2184,4.1599,3.9167,-8.0996,1.2847,1.0,1.0,0.000999,0.2904,0.91,0.5977
AT1_to_DK1_seed1,AT1,DK1,1,3,0.7877,0.1907,3.6312,3.9857,-8.2664,1.2465,1.0,1.0,0.000998,0.2262,0.93,0.6486
AT1_to_DK1_seed1,AT1,DK1,1,4,0.9125,0.1791,3.8104,4.0578,-8.2997,1.165,1.0,1.0,0.000996,0.2867,0.92,0.691
AT1_to_DK1_seed1,AT1,DK1,1,5,0.6041,0.1574,3.6855,3.9094,-8.3568,1.2086,1.0,1.0,0.000994,0.1863,0.94,0.7591
AT1_to_DK1_seed1,AT1,DK1,1,6,-0.0116,0.1492,3.4519,3.6457,-8.3885,1.1302,1.0,1.0,0.000991,0.1899,0.94,0.7527
AT1_to_DK1_seed1,AT1,DK1,1,7,0.9435,0.1659,3.9049,4.1218,-8.4003,1.1511,1.0,1.0,0.000988,0.2438,0.93,0.6795
AT1_to_DK1_seed1,AT1,DK1,1,8,1.2121,0.1772,3.8149,4.3853,-8.3476,1.1823,1.0,1.0,0.000984,0.2261,0.93,0.7161
AT1_to_DK1_seed1,AT1,DK1,1,9,0.5074,0.1662,3.573,4.2295,-8.4262,0.9649,1.0,1.0,0.00098,0.2851,0.91,0.6767
AT1_to_DK1_seed1,AT1,DK1,1,10,-0.086,0.1482,3.318,3.8457,-8.4164,1.0185,1.0,1.0,0.000976,0.2811,0.92,0.6865
AT1_to_DK1_seed1,AT1,DK1,1,11,0.5194,0.1408,3.5731,4.1381,-8.4168,1.0842,1.0,1.0,0.00097,0.1893,0.94,0.744
AT1_to_DK1_seed1,AT1,DK1,1,12,1.0157,0.1368,3.8401,4.2199,-8.3483,1.1673,1.0,1.0,0.000965,0.2155,0.94,0.7673
AT1_to_DK1_seed1,AT1,DK1,1,13,0.3389,0.1289,3.407,4.0041,-8.4173,1.2163,1.0,1.0,0.000959,0.1579,0.95,0.7917
AT1_to_DK1_seed1,AT1,DK1,1,14,1.0185,0.1239,3.9444,4.2306,-8.4447,1.1644,1.0,1.0,0.000952,0.1771,0.94,0.7822
AT1_to_DK1_seed1,AT1,DK1,1,15,1.3798,0.1242,3.9383,4.4066,-8.356,1.2666,1.0,1.0,0.000946,0.1586,0.95,0.8016
