run_name,cls_epoch1,cls_final,cls_min,qdom_epoch1,qdom_final,qdom_min,qcls_epoch1,qcls_final,qcls_min,div_epoch1,div_final,div_min,sda_epoch1,sda_final,sda_min,best_val_epoch,best_val_f1,final_val_f1,val_drop_from_best
AT1_to_DK1_seed1,0.5356,0.0285,0.0264,4.4595,3.2271,2.8599,5.2165,3.5046,2.8818,-4.9612,-8.4371,-8.4688,1.0365,1.1505,0.9649,35,0.8442,0.811,0.033199999999999896
AT1_to_DK1_seed2,0.5101,0.0279,0.0279,4.5532,3.0472,2.8381,5.0694,3.0794,2.9104,-3.7884,-8.4338,-8.4635,1.0783,1.1892,0.92,67,0.8854,0.8741,0.011299999999999977
AT1_to_DK1_seed3,0.4708,0.0255,0.024,4.7005,3.8739,2.8306,5.1556,3.5534,3.0008,-5.2372,-8.4143,-8.4772,0.926,1.231,0.926,32,0.8833,0.8587,0.024599999999999955
AT1_to_FR1_seed1,0.5244,0.028,0.027,4.2203,3.5736,3.0194,4.9492,2.8438,2.376,-5.36,-8.4443,-8.462,0.7975,1.1534,0.7412,8,0.8155,0.748,0.0675
AT1_to_FR1_seed2,0.4689,0.0186,0.0171,3.5371,3.2077,3.0569,4.3555,2.7751,2.1899,-4.8925,-8.414,-8.4531,0.8404,1.1435,0.7413,21,0.8465,0.7971,0.0494
AT1_to_FR2_seed1,0.3702,0.0127,0.0117,4.0722,3.2811,2.6593,4.5241,4.0272,2.6449,-6.5068,-8.4134,-8.4559,1.1069,1.3012,1.0142,38,0.9005,0.8596,0.040899999999999936
AT1_to_FR2_seed2,0.3552,0.0108,0.0085,4.499,3.6833,2.8779,4.6204,3.7361,2.7359,-6.1638,-8.4,-8.4393,0.9994,1.277,0.9908,89,0.9176,0.8943,0.023299999999999987
DK1_to_AT1_seed1,0.8124,0.0946,0.0941,4.8901,3.2663,2.6462,8.1948,4.4917,4.194,-3.2253,-8.963,-9.0579,0.9273,1.2117,0.9273,63,0.7448,0.7168,0.028000000000000025
DK1_to_AT1_seed2,0.7561,0.0757,0.075,3.484,2.5807,2.0785,6.7392,4.1656,3.5285,-3.6837,-9.0222,-9.0656,0.6087,1.2586,0.6087,54,0.7928,0.7301,0.06269999999999998
DK1_to_FR1_seed1,0.7825,0.0656,0.0643,4.4329,4.1864,2.8405,7.7144,4.7599,4.3223,-3.4181,-8.947,-9.0232,0.9744,1.2713,0.9744,64,0.8209,0.7946,0.02629999999999999
DK1_to_FR1_seed2,0.7494,0.08,0.0771,4.2398,3.2433,2.9793,7.2453,4.448,4.4418,-3.8687,-8.9934,-9.0618,0.8922,1.2166,0.8735,55,0.7664,0.7428,0.023599999999999954
DK1_to_FR2_seed1,0.6324,0.0246,0.0233,4.5807,2.6869,2.3467,6.9999,4.4946,4.0246,-5.4103,-9.0567,-9.0892,1.0875,1.2343,1.0875,32,0.7923,0.7289,0.06340000000000001
DK1_to_FR2_seed2,0.5804,0.0249,0.0235,4.5593,3.3631,3.0329,6.3132,4.4706,4.0063,-5.9034,-8.9889,-9.0518,1.0492,1.3039,1.0492,12,0.7949,0.7213,0.0736
DK1_to_FR2_seed3,0.598,0.0218,0.0215,4.3798,2.5359,2.3096,6.1603,4.2186,4.0294,-5.2522,-9.0596,-9.0769,0.8939,1.1175,0.8939,18,0.7523,0.6949,0.05740000000000001
FR1_to_AT1_seed1,0.5408,0.0589,0.0557,4.2795,2.7454,2.4993,5.4075,3.7535,3.2626,-4.4396,-8.617,-8.6918,1.028,1.1627,0.9777,33,0.6554,0.6131,0.042300000000000004
FR1_to_AT1_seed2,0.4712,0.0432,0.0423,2.811,2.9686,2.6861,4.12,3.7963,3.2756,-5.2643,-8.6747,-8.6747,0.4237,1.2492,0.4237,29,0.7124,0.5906,0.12180000000000002
FR1_to_DK1_seed1,0.5251,0.0461,0.0452,4.7112,3.4444,3.0812,5.1256,3.7124,3.123,-4.6421,-8.6207,-8.6873,0.9911,1.1878,0.9911,50,0.7191,0.6551,0.06399999999999995
FR1_to_DK1_seed2,0.5019,0.0513,0.0511,4.6201,4.3197,3.0476,4.9123,4.0839,3.5755,-4.857,-8.6002,-8.6208,0.9714,1.183,0.745,77,0.7248,0.6822,0.04259999999999997
FR1_to_FR2_seed1,0.4388,0.0456,0.0432,4.5853,3.3219,2.8967,4.5942,4.2025,3.0037,-5.8656,-8.623,-8.6707,1.0293,1.3012,1.0293,21,0.6851,0.6495,0.035600000000000076
FR1_to_FR2_seed2,0.4231,0.0391,0.0391,4.2027,2.9556,2.7291,4.6073,3.0886,2.9164,-6.1554,-8.6709,-8.6709,1.0624,1.2164,0.9645,44,0.6946,0.6514,0.043200000000000016
FR2_to_AT1_seed1,0.4536,0.0279,0.0279,4.8762,3.5373,3.2432,5.1444,2.9976,2.5324,-5.7403,-8.0475,-8.0869,0.8772,1.3237,0.8772,99,0.8902,0.8859,0.0042999999999999705
FR2_to_DK1_seed1,0.439,0.0302,0.0294,5.1824,3.4465,2.8207,5.0848,2.9296,2.6045,-5.7451,-8.0458,-8.0835,1.1569,1.1607,1.1569,37,0.8925,0.8538,0.03869999999999996
FR2_to_DK1_seed2,0.3853,0.0346,0.0342,5.2571,4.3575,3.6753,5.0755,3.1029,2.3725,-5.3111,-8.0542,-8.0635,1.0044,1.2632,1.0044,82,0.8382,0.8029,0.0353
FR2_to_FR1_seed1,0.4074,0.0319,0.0316,4.4197,3.3753,2.8151,4.5461,3.2671,2.2455,-5.973,-8.0514,-8.0812,0.9918,1.2225,0.9473,70,0.879,0.854,0.025000000000000022
