run_name,source,target,seed,class_name,precision,recall,f1,support
AT1_to_DK1_seed1,AT1,DK1,1,corn,0.66,0.69,0.68,774
AT1_to_DK1_seed1,AT1,DK1,1,horsebeans,0.01,0.1,0.02,62
AT1_to_DK1_seed1,AT1,DK1,1,meadow,0.49,0.94,0.65,2480
AT1_to_DK1_seed1,AT1,DK1,1,spring_barley,0.85,0.16,0.26,2759
AT1_to_DK1_seed1,AT1,DK1,1,spring_oat,0.08,0.22,0.11,359
AT1_to_DK1_seed1,AT1,DK1,1,winter_barley,0.89,0.26,0.41,759
AT1_to_DK1_seed1,AT1,DK1,1,winter_rapeseed,0.95,0.04,0.07,595
AT1_to_DK1_seed1,AT1,DK1,1,winter_rye,0.29,0.16,0.2,768
AT1_to_DK1_seed1,AT1,DK1,1,winter_triticale,0.06,0.22,0.09,91
AT1_to_DK1_seed1,AT1,DK1,1,winter_wheat,0.63,0.6,0.61,1987
AT1_to_DK1_seed2,AT1,DK1,2,corn,0.82,0.74,0.78,814
AT1_to_DK1_seed2,AT1,DK1,2,horsebeans,0.04,0.29,0.06,70
AT1_to_DK1_seed2,AT1,DK1,2,meadow,0.7,0.8,0.75,2509
AT1_to_DK1_seed2,AT1,DK1,2,spring_barley,0.87,0.12,0.22,2764
AT1_to_DK1_seed2,AT1,DK1,2,spring_oat,0.09,0.47,0.14,300
AT1_to_DK1_seed2,AT1,DK1,2,winter_barley,0.39,0.38,0.38,746
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,0.88,0.22,0.36,586
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,0.34,0.29,0.31,773
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,0.03,0.4,0.06,92
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,0.71,0.61,0.66,1980
AT1_to_DK1_seed3,AT1,DK1,3,corn,0.44,0.74,0.55,786
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,0.02,0.05,0.03,60
AT1_to_DK1_seed3,AT1,DK1,3,meadow,0.36,0.97,0.53,2545
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,0.89,0.11,0.19,2742
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,0.04,0.05,0.04,328
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,0.82,0.64,0.72,748
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,0.57,0.04,0.08,639
AT1_to_DK1_seed3,AT1,DK1,3,winter_rye,0.35,0.06,0.11,783
AT1_to_DK1_seed3,AT1,DK1,3,winter_triticale,0.05,0.15,0.07,87
AT1_to_DK1_seed3,AT1,DK1,3,winter_wheat,0.9,0.28,0.43,1916
AT1_to_FR1_seed1,AT1,FR1,1,corn,0.31,0.93,0.46,1311
AT1_to_FR1_seed1,AT1,FR1,1,horsebeans,0.08,0.09,0.09,150
AT1_to_FR1_seed1,AT1,FR1,1,meadow,0.87,0.9,0.88,3021
AT1_to_FR1_seed1,AT1,FR1,1,spring_barley,0.02,0.02,0.02,60
AT1_to_FR1_seed1,AT1,FR1,1,spring_oat,0.01,0.29,0.02,7
AT1_to_FR1_seed1,AT1,FR1,1,winter_barley,0.17,0.26,0.21,783
AT1_to_FR1_seed1,AT1,FR1,1,winter_rapeseed,0.9,0.16,0.27,525
AT1_to_FR1_seed1,AT1,FR1,1,winter_rye,0.0,0.17,0.0,6
AT1_to_FR1_seed1,AT1,FR1,1,winter_triticale,0.01,0.01,0.01,170
AT1_to_FR1_seed1,AT1,FR1,1,winter_wheat,0.87,0.29,0.43,5302
AT1_to_FR1_seed2,AT1,FR1,2,corn,0.59,0.97,0.74,1324
AT1_to_FR1_seed2,AT1,FR1,2,horsebeans,0.1,0.38,0.16,143
AT1_to_FR1_seed2,AT1,FR1,2,meadow,0.78,0.87,0.82,3005
AT1_to_FR1_seed2,AT1,FR1,2,spring_barley,0.01,0.09,0.01,53
AT1_to_FR1_seed2,AT1,FR1,2,spring_oat,0.01,0.09,0.01,11
AT1_to_FR1_seed2,AT1,FR1,2,winter_barley,0.09,0.13,0.11,759
AT1_to_FR1_seed2,AT1,FR1,2,winter_rapeseed,0.52,0.03,0.05,524
AT1_to_FR1_seed2,AT1,FR1,2,winter_rye,0.01,0.43,0.02,7
AT1_to_FR1_seed2,AT1,FR1,2,winter_triticale,0.03,0.06,0.04,163
AT1_to_FR1_seed2,AT1,FR1,2,winter_wheat,0.87,0.45,0.59,5346
AT1_to_FR2_seed1,AT1,FR2,1,corn,0.96,0.88,0.92,3842
AT1_to_FR2_seed1,AT1,FR2,1,horsebeans,0.2,0.11,0.14,89
AT1_to_FR2_seed1,AT1,FR2,1,meadow,0.91,0.89,0.9,10574
AT1_to_FR2_seed1,AT1,FR2,1,spring_barley,0.03,0.02,0.03,88
AT1_to_FR2_seed1,AT1,FR2,1,spring_oat,0.0,0.0,0.0,6
AT1_to_FR2_seed1,AT1,FR2,1,winter_barley,0.12,0.87,0.21,836
AT1_to_FR2_seed1,AT1,FR2,1,winter_rapeseed,0.26,0.12,0.16,770
AT1_to_FR2_seed1,AT1,FR2,1,winter_rye,0.02,0.09,0.03,11
AT1_to_FR2_seed1,AT1,FR2,1,winter_triticale,0.04,0.01,0.02,544
AT1_to_FR2_seed1,AT1,FR2,1,winter_wheat,0.18,0.01,0.02,4067
