class_name,AT1,DK1,FR1,FR2
corn,10135,4047,6615,19088
horsebeans,460,318,723,462
meadow,18231,12676,15157,52537
spring_barley,288,13838,274,390
spring_oat,588,1534,43,41
spring_peas,65,339,400,277
spring_rapeseed,5,14,11,10
spring_rye,3,45,1,1
spring_triticale,20,36,1,3
spring_wheat,85,311,50,32
sunflowers,31,0,16265,1270
unknown,5150,6413,15690,9510
winter_barley,4629,3738,4037,4083
winter_oat,0,1,226,435
winter_peas,0,0,663,79
winter_rapeseed,1026,2917,2634,3809
winter_rye,586,3856,33,51
winter_triticale,1476,389,878,2687
winter_wheat,6390,9860,26284,20990
