run_name,source,target,seed,status,num_classes,epochs_seen,has_test_result
AT1_to_DK1_seed1,AT1,DK1,1,completed,10.0,100,True
AT1_to_DK1_seed2,AT1,DK1,2,completed,10.0,100,True
AT1_to_DK1_seed3,AT1,DK1,3,completed,10.0,100,True
AT1_to_FR1_seed1,AT1,FR1,1,completed,10.0,100,True
AT1_to_FR1_seed2,AT1,FR1,2,completed,10.0,100,True
AT1_to_FR2_seed1,AT1,FR2,1,completed,10.0,100,True
AT1_to_FR2_seed2,AT1,FR2,2,completed,10.0,100,True
AT1_to_FR2_seed3,AT1,FR2,3,incomplete,10.0,46,False
DK1_to_AT1_seed1,DK1,AT1,1,completed,12.0,100,True
DK1_to_AT1_seed2,DK1,AT1,2,completed,12.0,100,True
DK1_to_FR1_seed1,DK1,FR1,1,completed,12.0,100,True
DK1_to_FR1_seed2,DK1,FR1,2,completed,12.0,100,True
DK1_to_FR1_seed3,DK1,FR1,3,incomplete,12.0,9,False
DK1_to_FR2_seed1,DK1,FR2,1,completed,12.0,100,True
DK1_to_FR2_seed2,DK1,FR2,2,completed,12.0,100,True
DK1_to_FR2_seed3,DK1,FR2,3,completed,12.0,100,True
FR1_to_AT1_seed1,FR1,AT1,1,completed,12.0,100,True
FR1_to_AT1_seed2,FR1,AT1,2,completed,12.0,100,True
FR1_to_DK1_seed1,FR1,DK1,1,completed,12.0,100,True
FR1_to_DK1_seed2,FR1,DK1,2,completed,12.0,100,True
FR1_to_DK1_seed3,FR1,DK1,3,incomplete,12.0,94,False
FR1_to_FR2_seed1,FR1,FR2,1,completed,12.0,100,True
FR1_to_FR2_seed2,FR1,FR2,2,completed,12.0,100,True
FR2_to_AT1_seed1,FR2,AT1,1,completed,11.0,100,True
FR2_to_DK1_seed1,FR2,DK1,1,completed,11.0,100,True
FR2_to_DK1_seed2,FR2,DK1,2,completed,11.0,100,True
FR2_to_FR1_seed1,FR2,FR1,1,completed,11.0,100,True
FR2_to_FR1_seed2,FR2,FR1,2,incomplete,11.0,96,False
DK1_to_AT1_seed3,DK1,AT1,3,missing,,0,False
FR2_to_DK1_seed3,FR2,DK1,3,missing,,0,False
FR2_to_FR1_seed3,FR2,FR1,3,missing,,0,False
FR2_to_AT1_seed2,FR2,AT1,2,missing,,0,False
FR2_to_AT1_seed3,FR2,AT1,3,missing,,0,False
FR1_to_FR2_seed3,FR1,FR2,3,missing,,0,False
FR1_to_AT1_seed3,FR1,AT1,3,missing,,0,False
AT1_to_FR1_seed3,AT1,FR1,3,missing,,0,False
