run_name,source,target,seed,best_source_val_f1,best_source_val_epoch,best_source_val_accuracy,final_source_val_f1,target_accuracy,target_macro_f1,source_target_f1_gap,num_classes,steps_per_epoch
AT1_to_DK1_seed1,AT1,DK1,1,0.8442,35,0.96,0.811,0.4644,0.31,0.5342,10,290
AT1_to_DK1_seed2,AT1,DK1,2,0.8854,67,0.97,0.8741,0.4694,0.3716,0.5138,10,290
AT1_to_DK1_seed3,AT1,DK1,3,0.8833,32,0.97,0.8587,0.4187,0.2747,0.6086,10,290
AT1_to_FR1_seed1,AT1,FR1,1,0.8155,8,0.96,0.748,0.5081,0.2389,0.5766,10,309
AT1_to_FR1_seed2,AT1,FR1,2,0.8465,21,0.96,0.7971,0.5734,0.2569,0.5896,10,309
AT1_to_FR2_seed1,AT1,FR2,1,0.9005,38,0.98,0.8596,0.6547,0.2423,0.6582,10,569
AT1_to_FR2_seed2,AT1,FR2,2,0.9176,89,0.98,0.8943,0.6709,0.3136,0.604,10,569
DK1_to_AT1_seed1,DK1,AT1,1,0.7448,63,0.88,0.7168,0.7222,0.3261,0.4187,12,294
DK1_to_AT1_seed2,DK1,AT1,2,0.7928,54,0.89,0.7301,0.8326,0.4291,0.36369999999999997,12,294
DK1_to_FR1_seed1,DK1,FR1,1,0.8209,64,0.92,0.7946,0.4007,0.2057,0.6152,12,312
DK1_to_FR1_seed2,DK1,FR1,2,0.7664,55,0.91,0.7428,0.4921,0.2307,0.5357,12,312
DK1_to_FR2_seed1,DK1,FR2,1,0.7923,32,0.91,0.7289,0.5412,0.2312,0.5611,12,571
DK1_to_FR2_seed2,DK1,FR2,2,0.7949,12,0.93,0.7213,0.5973,0.2072,0.5877000000000001,12,571
DK1_to_FR2_seed3,DK1,FR2,3,0.7523,18,0.91,0.6949,0.6018,0.2507,0.5016,12,571
FR1_to_AT1_seed1,FR1,AT1,1,0.6554,33,0.91,0.6131,0.7538,0.3157,0.3397,12,405
FR1_to_AT1_seed2,FR1,AT1,2,0.7124,29,0.94,0.5906,0.8644,0.4265,0.28590000000000004,12,405
FR1_to_DK1_seed1,FR1,DK1,1,0.7191,50,0.95,0.6551,0.4114,0.2481,0.471,12,405
FR1_to_DK1_seed2,FR1,DK1,2,0.7248,77,0.96,0.6822,0.2589,0.1194,0.6053999999999999,12,405
FR1_to_FR2_seed1,FR1,FR2,1,0.6851,21,0.94,0.6495,0.8552,0.5398,0.1453000000000001,12,580
FR1_to_FR2_seed2,FR1,FR2,2,0.6946,44,0.93,0.6514,0.7123,0.4028,0.2918,12,580
FR2_to_AT1_seed1,FR2,AT1,1,0.8902,99,0.98,0.8859,0.8351,0.4599,0.4303,11,579
FR2_to_DK1_seed1,FR2,DK1,1,0.8925,37,0.98,0.8538,0.5472,0.2884,0.6041,11,579
FR2_to_DK1_seed2,FR2,DK1,2,0.8382,82,0.97,0.8029,0.4794,0.2513,0.5869,11,579
FR2_to_FR1_seed1,FR2,FR1,1,0.879,70,0.97,0.854,0.7466,0.4716,0.4074,11,579
