source,target,n_completed_seeds,target_accuracy_mean,target_accuracy_std,target_macro_f1_mean,target_macro_f1_std,best_source_val_f1_mean,best_source_val_f1_std,source_target_f1_gap_mean,source_target_f1_gap_std
AT1,DK1,3,0.45083333333333336,0.022813202805003544,0.31876666666666664,0.040042005721769504,0.8709666666666666,0.01894629837784211,0.5522,0.04074113400483595
AT1,FR1,2,0.5407500000000001,0.03265000000000001,0.2479,0.009000000000000008,0.831,0.015500000000000014,0.5831,0.006500000000000006
AT1,FR2,2,0.6628000000000001,0.008100000000000052,0.27795,0.03565,0.9090499999999999,0.008550000000000002,0.6311,0.027100000000000013
DK1,AT1,2,0.7774,0.05520000000000003,0.3776,0.05149999999999999,0.7687999999999999,0.023999999999999966,0.3912,0.027500000000000024
DK1,FR1,2,0.4464,0.04569999999999999,0.2182,0.012499999999999997,0.79365,0.027249999999999996,0.57545,0.03975000000000001
DK1,FR2,3,0.5801,0.027567734763668927,0.22970000000000002,0.01779044687465719,0.7798333333333334,0.0194979201169994,0.5501333333333334,0.035995400940799234
FR1,AT1,2,0.8090999999999999,0.05529999999999996,0.3711,0.055400000000000005,0.6839,0.028500000000000025,0.3128,0.02689999999999998
FR1,DK1,2,0.33515,0.07624999999999998,0.18375,0.06434999999999999,0.72195,0.002850000000000019,0.5382,0.06719999999999998
FR1,FR2,2,0.78375,0.07144999999999996,0.47129999999999994,0.06849999999999998,0.6898500000000001,0.0047499999999999765,0.21855000000000005,0.07324999999999995
FR2,AT1,1,0.8351,0.0,0.4599,0.0,0.8902,0.0,0.4303,0.0
FR2,DK1,2,0.5133,0.03390000000000001,0.26985000000000003,0.018549999999999983,0.86535,0.027150000000000007,0.5954999999999999,0.008599999999999997
FR2,FR1,1,0.7466,0.0,0.4716,0.0,0.879,0.0,0.4074,0.0
